DEPARTAMENTO;MUNICIPIO;PRODUCTO;MONEDA;MES;ANO;PRECIO
Caldas;Manizales;Avocados - Retail;COP;1;2011;1.731
Caldas;Manizales;Avocados - Retail;COP;12;2011;1.731
Caldas;Manizales;Avocados - Retail;COP;1;2012;1.843
Caldas;Manizales;Avocados - Retail;COP;12;2012;1.843
Caldas;Manizales;Avocados - Retail;COP;1;2013;2.260
Caldas;Manizales;Avocados - Retail;COP;12;2013;2.260
Caldas;Manizales;Avocados - Retail;COP;1;2014;1.933
Caldas;Manizales;Avocados - Retail;COP;12;2014;1.933
Caldas;Manizales;Avocados - Retail;COP;1;2015;2.590
Caldas;Manizales;Avocados - Retail;COP;12;2015;2.590
Caldas;Manizales;Avocados - Retail;COP;1;2016;2.890
Caldas;Manizales;Avocados - Retail;COP;12;2016;2.890
Caldas;Manizales;Avocados - Retail;COP;1;2017;2.550
Caldas;Manizales;Avocados - Retail;COP;12;2017;2.550
Caldas;Manizales;Avocados - Retail;COP;1;2018;2.910
Caldas;Manizales;Avocados - Retail;COP;12;2018;2.910
Casanare;Yopal;Avocados - Retail;COP;1;2006;1.133
Casanare;Yopal;Avocados - Retail;COP;12;2006;1.133
Casanare;Yopal;Avocados - Retail;COP;1;2007;998
Casanare;Yopal;Avocados - Retail;COP;12;2007;998
Casanare;Yopal;Avocados - Retail;COP;1;2008;1.250
Casanare;Yopal;Avocados - Retail;COP;12;2008;1.250
Casanare;Yopal;Avocados - Retail;COP;1;2009;1.620
Casanare;Yopal;Avocados - Retail;COP;12;2009;1.620
Casanare;Yopal;Avocados - Retail;COP;1;2010;1.525
Casanare;Yopal;Avocados - Retail;COP;12;2010;1.525
Casanare;Yopal;Avocados - Retail;COP;1;2011;1.731
Casanare;Yopal;Avocados - Retail;COP;12;2011;1.731
Casanare;Yopal;Avocados - Retail;COP;1;2012;1.843
Casanare;Yopal;Avocados - Retail;COP;12;2012;1.843
Casanare;Yopal;Avocados - Retail;COP;1;2013;2.260
Casanare;Yopal;Avocados - Retail;COP;12;2013;2.260
Casanare;Yopal;Avocados - Retail;COP;1;2014;1.933
Casanare;Yopal;Avocados - Retail;COP;12;2014;1.933
Casanare;Yopal;Avocados - Retail;COP;1;2015;2.590
Casanare;Yopal;Avocados - Retail;COP;12;2015;2.590
Casanare;Yopal;Avocados - Retail;COP;1;2016;2.890
Casanare;Yopal;Avocados - Retail;COP;12;2016;2.890
Casanare;Yopal;Avocados - Retail;COP;1;2017;2.550
Casanare;Yopal;Avocados - Retail;COP;12;2017;2.550
Casanare;Yopal;Avocados - Retail;COP;1;2018;2.910
Casanare;Yopal;Avocados - Retail;COP;12;2018;2.910
Cauca;Popayan;Avocados - Retail;COP;1;2006;1.133
Cauca;Popayan;Avocados - Retail;COP;12;2006;1.133
Cauca;Popayan;Avocados - Retail;COP;1;2007;998
Cauca;Popayan;Avocados - Retail;COP;12;2007;998
Cauca;Popayan;Avocados - Retail;COP;1;2008;1.250
Cauca;Popayan;Avocados - Retail;COP;12;2008;1.250
Cauca;Popayan;Avocados - Retail;COP;1;2009;1.620
Cauca;Popayan;Avocados - Retail;COP;12;2009;1.620
Cauca;Popayan;Avocados - Retail;COP;1;2010;1.525
Cauca;Popayan;Avocados - Retail;COP;12;2010;1.525
Cauca;Popayan;Avocados - Retail;COP;1;2011;1.731
Cauca;Popayan;Avocados - Retail;COP;12;2011;1.731
Cauca;Popayan;Avocados - Retail;COP;1;2012;1.843
Cauca;Popayan;Avocados - Retail;COP;12;2012;1.843
Cauca;Popayan;Avocados - Retail;COP;1;2013;2.260
Cauca;Popayan;Avocados - Retail;COP;12;2013;2.260
Cauca;Popayan;Avocados - Retail;COP;1;2014;1.933
Cauca;Popayan;Avocados - Retail;COP;12;2014;1.933
Cauca;Popayan;Avocados - Retail;COP;1;2015;2.590
Cauca;Popayan;Avocados - Retail;COP;12;2015;2.590
Cauca;Popayan;Avocados - Retail;COP;1;2016;2.890
Cauca;Popayan;Avocados - Retail;COP;12;2016;2.890
Cauca;Popayan;Avocados - Retail;COP;1;2017;2.550
Cauca;Popayan;Avocados - Retail;COP;12;2017;2.550
Cauca;Popayan;Avocados - Retail;COP;1;2018;2.910
Cauca;Popayan;Avocados - Retail;COP;12;2018;2.910
Cesar;Valledupar;Avocados - Retail;COP;1;2006;1.133
Cesar;Valledupar;Avocados - Retail;COP;12;2006;1.133
Cesar;Valledupar;Avocados - Retail;COP;1;2007;998
Cesar;Valledupar;Avocados - Retail;COP;12;2007;998
Cesar;Valledupar;Avocados - Retail;COP;1;2008;1.250
Cesar;Valledupar;Avocados - Retail;COP;12;2008;1.250
Cesar;Valledupar;Avocados - Retail;COP;1;2009;1.620
Cesar;Valledupar;Avocados - Retail;COP;12;2009;1.620
Cesar;Valledupar;Avocados - Retail;COP;1;2010;1.525
Cesar;Valledupar;Avocados - Retail;COP;12;2010;1.525
Cesar;Valledupar;Avocados - Retail;COP;1;2011;1.731
Cesar;Valledupar;Avocados - Retail;COP;12;2011;1.731
Cesar;Valledupar;Avocados - Retail;COP;1;2012;1.843
Cesar;Valledupar;Avocados - Retail;COP;12;2012;1.843
Cesar;Valledupar;Avocados - Retail;COP;1;2013;2.260
Cesar;Valledupar;Avocados - Retail;COP;12;2013;2.260
Cesar;Valledupar;Avocados - Retail;COP;1;2014;1.933
Cesar;Valledupar;Avocados - Retail;COP;12;2014;1.933
Cesar;Valledupar;Avocados - Retail;COP;1;2015;2.590
Cesar;Valledupar;Avocados - Retail;COP;12;2015;2.590
Cesar;Valledupar;Avocados - Retail;COP;1;2016;2.890
Cesar;Valledupar;Avocados - Retail;COP;12;2016;2.890
Cesar;Valledupar;Avocados - Retail;COP;1;2017;2.550
Cesar;Valledupar;Avocados - Retail;COP;12;2017;2.550
Cesar;Valledupar;Avocados - Retail;COP;1;2018;2.910
Cesar;Valledupar;Avocados - Retail;COP;12;2018;2.910
Cundinamarca;Bogota;Avocados - Retail;COP;1;2006;1.133
Cundinamarca;Bogota;Avocados - Retail;COP;12;2006;1.133
Cundinamarca;Bogota;Avocados - Retail;COP;1;2007;998
Cundinamarca;Bogota;Avocados - Retail;COP;12;2007;998
Cundinamarca;Bogota;Avocados - Retail;COP;1;2008;1.250
Cundinamarca;Bogota;Avocados - Retail;COP;12;2008;1.250
Cundinamarca;Bogota;Avocados - Retail;COP;1;2009;1.620
Cundinamarca;Bogota;Avocados - Retail;COP;12;2009;1.620
Cundinamarca;Bogota;Avocados - Retail;COP;1;2010;1.525
Cundinamarca;Bogota;Avocados - Retail;COP;12;2010;1.525
Cundinamarca;Bogota;Avocados - Retail;COP;1;2011;1.731
Cundinamarca;Bogota;Avocados - Retail;COP;12;2011;1.731
Cundinamarca;Bogota;Avocados - Retail;COP;1;2012;1.843
Cundinamarca;Bogota;Avocados - Retail;COP;12;2012;1.843
Cundinamarca;Bogota;Avocados - Retail;COP;1;2013;2.260
Cundinamarca;Bogota;Avocados - Retail;COP;12;2013;2.260
Cundinamarca;Bogota;Avocados - Retail;COP;1;2014;1.933
Cundinamarca;Bogota;Avocados - Retail;COP;12;2014;1.933
Cundinamarca;Bogota;Avocados - Retail;COP;1;2015;2.590
Cundinamarca;Bogota;Avocados - Retail;COP;12;2015;2.590
Cundinamarca;Bogota;Avocados - Retail;COP;1;2016;2.890
Cundinamarca;Bogota;Avocados - Retail;COP;12;2016;2.890
Cundinamarca;Bogota;Avocados - Retail;COP;1;2017;2.550
Cundinamarca;Bogota;Avocados - Retail;COP;12;2017;2.550
Cundinamarca;Bogota;Avocados - Retail;COP;1;2018;2.910
Cundinamarca;Bogota;Avocados - Retail;COP;12;2018;2.910
Huila;Neiva;Avocados - Retail;COP;1;2006;1.133
Huila;Neiva;Avocados - Retail;COP;12;2006;1.133
Huila;Neiva;Avocados - Retail;COP;1;2007;998
Huila;Neiva;Avocados - Retail;COP;12;2007;998
Huila;Neiva;Avocados - Retail;COP;1;2008;1.250
Huila;Neiva;Avocados - Retail;COP;12;2008;1.250
Huila;Neiva;Avocados - Retail;COP;1;2009;1.620
Huila;Neiva;Avocados - Retail;COP;12;2009;1.620
Huila;Neiva;Avocados - Retail;COP;1;2010;1.525
Huila;Neiva;Avocados - Retail;COP;12;2010;1.525
Huila;Neiva;Avocados - Retail;COP;1;2011;1.731
Huila;Neiva;Avocados - Retail;COP;12;2011;1.731
Huila;Neiva;Avocados - Retail;COP;1;2012;1.843
Huila;Neiva;Avocados - Retail;COP;12;2012;1.843
Huila;Neiva;Avocados - Retail;COP;1;2013;2.260
Huila;Neiva;Avocados - Retail;COP;12;2013;2.260
Huila;Neiva;Avocados - Retail;COP;1;2014;1.933
Huila;Neiva;Avocados - Retail;COP;12;2014;1.933
Huila;Neiva;Avocados - Retail;COP;1;2015;2.590
Huila;Neiva;Avocados - Retail;COP;12;2015;2.590
Huila;Neiva;Avocados - Retail;COP;1;2016;2.890
Huila;Neiva;Avocados - Retail;COP;12;2016;2.890
Huila;Neiva;Avocados - Retail;COP;1;2017;2.550
Huila;Neiva;Avocados - Retail;COP;12;2017;2.550
Huila;Neiva;Avocados - Retail;COP;1;2018;2.910
Huila;Neiva;Avocados - Retail;COP;12;2018;2.910
La Guajira;Riohacha;Avocados - Retail;COP;1;2006;1.133
La Guajira;Riohacha;Avocados - Retail;COP;12;2006;1.133
La Guajira;Riohacha;Avocados - Retail;COP;1;2007;998
La Guajira;Riohacha;Avocados - Retail;COP;12;2007;998
La Guajira;Riohacha;Avocados - Retail;COP;1;2008;1.250
La Guajira;Riohacha;Avocados - Retail;COP;12;2008;1.250
La Guajira;Riohacha;Avocados - Retail;COP;1;2009;1.620
La Guajira;Riohacha;Avocados - Retail;COP;12;2009;1.620
La Guajira;Riohacha;Avocados - Retail;COP;1;2010;1.525
La Guajira;Riohacha;Avocados - Retail;COP;12;2010;1.525
La Guajira;Riohacha;Avocados - Retail;COP;1;2011;1.731
La Guajira;Riohacha;Avocados - Retail;COP;12;2011;1.731
La Guajira;Riohacha;Avocados - Retail;COP;1;2012;1.843
La Guajira;Riohacha;Avocados - Retail;COP;12;2012;1.843
La Guajira;Riohacha;Avocados - Retail;COP;1;2013;2.260
La Guajira;Riohacha;Avocados - Retail;COP;12;2013;2.260
La Guajira;Riohacha;Avocados - Retail;COP;1;2014;1.933
La Guajira;Riohacha;Avocados - Retail;COP;12;2014;1.933
La Guajira;Riohacha;Avocados - Retail;COP;1;2015;2.590
La Guajira;Riohacha;Avocados - Retail;COP;12;2015;2.590
La Guajira;Riohacha;Avocados - Retail;COP;1;2016;2.890
La Guajira;Riohacha;Avocados - Retail;COP;12;2016;2.890
La Guajira;Riohacha;Avocados - Retail;COP;1;2017;2.550
La Guajira;Riohacha;Avocados - Retail;COP;12;2017;2.550
La Guajira;Riohacha;Avocados - Retail;COP;1;2018;2.910
La Guajira;Riohacha;Avocados - Retail;COP;12;2018;2.910
Meta;Villavicencio;Avocados - Retail;COP;1;2006;1.133
Meta;Villavicencio;Avocados - Retail;COP;12;2006;1.133
Meta;Villavicencio;Avocados - Retail;COP;1;2007;998
Meta;Villavicencio;Avocados - Retail;COP;12;2007;998
Meta;Villavicencio;Avocados - Retail;COP;1;2008;1.250
Meta;Villavicencio;Avocados - Retail;COP;12;2008;1.250
Meta;Villavicencio;Avocados - Retail;COP;1;2009;1.620
Meta;Villavicencio;Avocados - Retail;COP;12;2009;1.620
Meta;Villavicencio;Avocados - Retail;COP;1;2010;1.525
Meta;Villavicencio;Avocados - Retail;COP;12;2010;1.525
Meta;Villavicencio;Avocados - Retail;COP;1;2011;1.731
Meta;Villavicencio;Avocados - Retail;COP;12;2011;1.731
Meta;Villavicencio;Avocados - Retail;COP;1;2012;1.843
Meta;Villavicencio;Avocados - Retail;COP;12;2012;1.843
Meta;Villavicencio;Avocados - Retail;COP;1;2013;2.260
Meta;Villavicencio;Avocados - Retail;COP;12;2013;2.260
Meta;Villavicencio;Avocados - Retail;COP;1;2014;1.933
Meta;Villavicencio;Avocados - Retail;COP;12;2014;1.933
Meta;Villavicencio;Avocados - Retail;COP;1;2015;2.590
Meta;Villavicencio;Avocados - Retail;COP;12;2015;2.590
Meta;Villavicencio;Avocados - Retail;COP;1;2016;2.890
Meta;Villavicencio;Avocados - Retail;COP;12;2016;2.890
Meta;Villavicencio;Avocados - Retail;COP;1;2017;2.550
Meta;Villavicencio;Avocados - Retail;COP;12;2017;2.550
Meta;Villavicencio;Avocados - Retail;COP;1;2018;2.910
Meta;Villavicencio;Avocados - Retail;COP;12;2018;2.910
Narino;Pasto;Avocados - Retail;COP;1;2006;1.133
Narino;Pasto;Avocados - Retail;COP;12;2006;1.133
Narino;Pasto;Avocados - Retail;COP;1;2007;998
Narino;Pasto;Avocados - Retail;COP;12;2007;998
Narino;Pasto;Avocados - Retail;COP;1;2008;1.250
Narino;Pasto;Avocados - Retail;COP;12;2008;1.250
Narino;Pasto;Avocados - Retail;COP;1;2009;1.620
Narino;Pasto;Avocados - Retail;COP;12;2009;1.620
Narino;Pasto;Avocados - Retail;COP;1;2010;1.525
Narino;Pasto;Avocados - Retail;COP;12;2010;1.525
Narino;Pasto;Avocados - Retail;COP;1;2011;1.731
Narino;Pasto;Avocados - Retail;COP;12;2011;1.731
Narino;Pasto;Avocados - Retail;COP;1;2012;1.843
Narino;Pasto;Avocados - Retail;COP;12;2012;1.843
Narino;Pasto;Avocados - Retail;COP;1;2013;2.260
Narino;Pasto;Avocados - Retail;COP;12;2013;2.260
Narino;Pasto;Avocados - Retail;COP;1;2014;1.933
Narino;Pasto;Avocados - Retail;COP;12;2014;1.933
Narino;Pasto;Avocados - Retail;COP;1;2015;2.590
Narino;Pasto;Avocados - Retail;COP;12;2015;2.590
Narino;Pasto;Avocados - Retail;COP;1;2016;2.890
Narino;Pasto;Avocados - Retail;COP;12;2016;2.890
Narino;Pasto;Avocados - Retail;COP;1;2017;2.550
Narino;Pasto;Avocados - Retail;COP;12;2017;2.550
Narino;Pasto;Avocados - Retail;COP;1;2018;2.910
Narino;Pasto;Avocados - Retail;COP;12;2018;2.910
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2006;1.133
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2006;1.133
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2007;998
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2007;998
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2008;1.250
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2008;1.250
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2009;1.620
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2009;1.620
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2010;1.525
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2010;1.525
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2011;1.731
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2011;1.731
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2012;1.843
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2012;1.843
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2013;2.260
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2013;2.260
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2014;1.933
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2014;1.933
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2015;2.590
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2015;2.590
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2016;2.890
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2016;2.890
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2017;2.550
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2017;2.550
Norte De Santander;Cucuta;Avocados - Retail;COP;1;2018;2.910
Norte De Santander;Cucuta;Avocados - Retail;COP;12;2018;2.910
Quindio;Armenia;Avocados - Retail;COP;1;2006;1.133
Quindio;Armenia;Avocados - Retail;COP;12;2006;1.133
Quindio;Armenia;Avocados - Retail;COP;1;2007;998
Quindio;Armenia;Avocados - Retail;COP;12;2007;998
Quindio;Armenia;Avocados - Retail;COP;1;2008;1.250
Quindio;Armenia;Avocados - Retail;COP;12;2008;1.250
Quindio;Armenia;Avocados - Retail;COP;1;2009;1.620
Quindio;Armenia;Avocados - Retail;COP;12;2009;1.620
Quindio;Armenia;Avocados - Retail;COP;1;2010;1.525
Quindio;Armenia;Avocados - Retail;COP;12;2010;1.525
Quindio;Armenia;Avocados - Retail;COP;1;2011;1.731
Quindio;Armenia;Avocados - Retail;COP;12;2011;1.731
Quindio;Armenia;Avocados - Retail;COP;1;2012;1.843
Quindio;Armenia;Avocados - Retail;COP;12;2012;1.843
Quindio;Armenia;Avocados - Retail;COP;1;2013;2.260
Quindio;Armenia;Avocados - Retail;COP;12;2013;2.260
Quindio;Armenia;Avocados - Retail;COP;1;2014;1.933
Quindio;Armenia;Avocados - Retail;COP;12;2014;1.933
Quindio;Armenia;Avocados - Retail;COP;1;2015;2.590
Quindio;Armenia;Avocados - Retail;COP;12;2015;2.590
Quindio;Armenia;Avocados - Retail;COP;1;2016;2.890
Quindio;Armenia;Avocados - Retail;COP;12;2016;2.890
Quindio;Armenia;Avocados - Retail;COP;1;2017;2.550
Quindio;Armenia;Avocados - Retail;COP;12;2017;2.550
Quindio;Armenia;Avocados - Retail;COP;1;2018;2.910
Quindio;Armenia;Avocados - Retail;COP;12;2018;2.910
Risaralda;Pereira;Avocados - Retail;COP;1;2006;1.133
Risaralda;Pereira;Avocados - Retail;COP;12;2006;1.133
Risaralda;Pereira;Avocados - Retail;COP;1;2007;998
Risaralda;Pereira;Avocados - Retail;COP;12;2007;998
Risaralda;Pereira;Avocados - Retail;COP;1;2008;1.250
Risaralda;Pereira;Avocados - Retail;COP;12;2008;1.250
Risaralda;Pereira;Avocados - Retail;COP;1;2009;1.620
Risaralda;Pereira;Avocados - Retail;COP;12;2009;1.620
Risaralda;Pereira;Avocados - Retail;COP;1;2010;1.525
Risaralda;Pereira;Avocados - Retail;COP;12;2010;1.525
Risaralda;Pereira;Avocados - Retail;COP;1;2011;1.731
Risaralda;Pereira;Avocados - Retail;COP;12;2011;1.731
Risaralda;Pereira;Avocados - Retail;COP;1;2012;1.843
Risaralda;Pereira;Avocados - Retail;COP;12;2012;1.843
Risaralda;Pereira;Avocados - Retail;COP;1;2013;2.260
Risaralda;Pereira;Avocados - Retail;COP;12;2013;2.260
Risaralda;Pereira;Avocados - Retail;COP;1;2014;1.933
Risaralda;Pereira;Avocados - Retail;COP;12;2014;1.933
Risaralda;Pereira;Avocados - Retail;COP;1;2015;2.590
Risaralda;Pereira;Avocados - Retail;COP;12;2015;2.590
Risaralda;Pereira;Avocados - Retail;COP;1;2016;2.890
Risaralda;Pereira;Avocados - Retail;COP;12;2016;2.890
Risaralda;Pereira;Avocados - Retail;COP;1;2017;2.550
Risaralda;Pereira;Avocados - Retail;COP;12;2017;2.550
Risaralda;Pereira;Avocados - Retail;COP;1;2018;2.910
Risaralda;Pereira;Avocados - Retail;COP;12;2018;2.910
Santander;Bucaramanga;Avocados - Retail;COP;1;2006;1.133
Santander;Bucaramanga;Avocados - Retail;COP;12;2006;1.133
Santander;Bucaramanga;Avocados - Retail;COP;1;2007;998
Santander;Bucaramanga;Avocados - Retail;COP;12;2007;998
Santander;Bucaramanga;Avocados - Retail;COP;1;2008;1.250
Santander;Bucaramanga;Avocados - Retail;COP;12;2008;1.250
Santander;Bucaramanga;Avocados - Retail;COP;1;2009;1.620
Santander;Bucaramanga;Avocados - Retail;COP;12;2009;1.620
Santander;Bucaramanga;Avocados - Retail;COP;1;2010;1.525
Santander;Bucaramanga;Avocados - Retail;COP;12;2010;1.525
Santander;Bucaramanga;Avocados - Retail;COP;1;2011;1.731
Santander;Bucaramanga;Avocados - Retail;COP;12;2011;1.731
Santander;Bucaramanga;Avocados - Retail;COP;1;2012;1.843
Santander;Bucaramanga;Avocados - Retail;COP;12;2012;1.843
Santander;Bucaramanga;Avocados - Retail;COP;1;2013;2.260
Santander;Bucaramanga;Avocados - Retail;COP;12;2013;2.260
Santander;Bucaramanga;Avocados - Retail;COP;1;2014;1.933
Santander;Bucaramanga;Avocados - Retail;COP;12;2014;1.933
Santander;Bucaramanga;Avocados - Retail;COP;1;2015;2.590
Santander;Bucaramanga;Avocados - Retail;COP;12;2015;2.590
Santander;Bucaramanga;Avocados - Retail;COP;1;2016;2.890
Santander;Bucaramanga;Avocados - Retail;COP;12;2016;2.890
Santander;Bucaramanga;Avocados - Retail;COP;1;2017;2.550
Santander;Bucaramanga;Avocados - Retail;COP;12;2017;2.550
Santander;Bucaramanga;Avocados - Retail;COP;1;2018;2.910
Santander;Bucaramanga;Avocados - Retail;COP;12;2018;2.910
Sucre;Sincelejo;Avocados - Retail;COP;1;2006;1.133
Sucre;Sincelejo;Avocados - Retail;COP;12;2006;1.133
Sucre;Sincelejo;Avocados - Retail;COP;1;2007;998
Sucre;Sincelejo;Avocados - Retail;COP;12;2007;998
Sucre;Sincelejo;Avocados - Retail;COP;1;2008;1.250
Sucre;Sincelejo;Avocados - Retail;COP;12;2008;1.250
Sucre;Sincelejo;Avocados - Retail;COP;1;2009;1.620
Sucre;Sincelejo;Avocados - Retail;COP;12;2009;1.620
Sucre;Sincelejo;Avocados - Retail;COP;1;2010;1.525
Sucre;Sincelejo;Avocados - Retail;COP;12;2010;1.525
Sucre;Sincelejo;Avocados - Retail;COP;1;2011;1.731
Sucre;Sincelejo;Avocados - Retail;COP;12;2011;1.731
Sucre;Sincelejo;Avocados - Retail;COP;1;2012;1.843
Sucre;Sincelejo;Avocados - Retail;COP;12;2012;1.843
Sucre;Sincelejo;Avocados - Retail;COP;1;2013;2.260
Sucre;Sincelejo;Avocados - Retail;COP;12;2013;2.260
Sucre;Sincelejo;Avocados - Retail;COP;1;2014;1.933
Sucre;Sincelejo;Avocados - Retail;COP;12;2014;1.933
Sucre;Sincelejo;Avocados - Retail;COP;1;2015;2.590
Sucre;Sincelejo;Avocados - Retail;COP;12;2015;2.590
